Perfil,Excesso Mensal,Excesso %,Custo Oportunidade Anual,Custo Oportunidade 10 anos
Controlado,3745.0985306039656,192.05633490276747,49435.30060397235,116565.8529130276
Medio,14243.820436868253,730.4523300958078,188018.42976666096,443337.62233374425
Impulsivo,32962.106933670926,1690.3644581369704,435099.81152445625,1025942.5959386276
